gene_symbol,ensembl_id,token_id
ENSG00000285646,ENSG00000285646,57950
ENSG00000285647,ENSG00000285647,57951
ENSG00000285648,ENSG00000285648,57952
ENSG00000285649,ENSG00000285649,57953
ENSG00000285650,ENSG00000285650,57954
ENSG00000285651,ENSG00000285651,57955
ENSG00000285652,ENSG00000285652,57956
ENSG00000285653,ENSG00000285653,57957
ENSG00000285654,ENSG00000285654,57958
ENSG00000285655,ENSG00000285655,57959
ENSG00000285656,ENSG00000285656,57960
FAM90A19,ENSG00000285657,57961
ENSG00000285658,ENSG00000285658,57962
ENSG00000285659,ENSG00000285659,57963
ENSG00000285660,ENSG00000285660,57964
ENSG00000285661,ENSG00000285661,57965
FAM245B,ENSG00000285662,57966
ENSG00000285663,ENSG00000285663,57967
ENSG00000285664,ENSG00000285664,57968
TOP1P1,ENSG00000285665,57969
ENSG00000285666,ENSG00000285666,57970
ENSG00000285667,ENSG00000285667,57971
ENSG00000285668,ENSG00000285668,57972
ENSG00000285669,ENSG00000285669,57973
ENSG00000285670,ENSG00000285670,57974
ENSG00000285671,ENSG00000285671,57975
ENSG00000285672,ENSG00000285672,57976
ENSG00000285673,ENSG00000285673,57977
5S_rRNA-6,ENSG00000285674,57978
ENSG00000285675,ENSG00000285675,57979
ENSG00000285676,ENSG00000285676,57980
ENSG00000285677,ENSG00000285677,57981
ENSG00000285679,ENSG00000285679,57982
ENSG00000285680,ENSG00000285680,57983
ENSG00000285681,ENSG00000285681,57984
ENSG00000285683,ENSG00000285683,57985
ENSG00000285684,ENSG00000285684,57986
ENSG00000285685,ENSG00000285685,57987
LINC02834,ENSG00000285686,57988
FAM90A22,ENSG00000285687,57989
ENSG00000285688,ENSG00000285688,57990
ENSG00000285689,ENSG00000285689,57991
ENSG00000285690,ENSG00000285690,57992
ENSG00000285691,ENSG00000285691,57993
ENSG00000285692,ENSG00000285692,57994
ENSG00000285693,ENSG00000285693,57995
ENSG00000285694,ENSG00000285694,57996
ENSG00000285695,ENSG00000285695,57997
ENSG00000285696,ENSG00000285696,57998
ENSG00000285697,ENSG00000285697,57999
ENSG00000285698,ENSG00000285698,58000
ENSG00000285699,ENSG00000285699,58001
ENSG00000285700,ENSG00000285700,58002
ENSG00000285701,ENSG00000285701,58003
ENSG00000285702,ENSG00000285702,58004
ENSG00000285703,ENSG00000285703,58005
ENSG00000285704,ENSG00000285704,58006
ENSG00000285705,ENSG00000285705,58007
ENSG00000285706,ENSG00000285706,58008
ENSG00000285707,ENSG00000285707,58009
ENSG00000285708,ENSG00000285708,58010
ENSG00000285709,ENSG00000285709,58011
ENSG00000285710,ENSG00000285710,58012
LINC02835,ENSG00000285711,58013
ENSG00000285712,ENSG00000285712,58014
ENSG00000285713,ENSG00000285713,58015
ENSG00000285714,ENSG00000285714,58016
ENSG00000285715,ENSG00000285715,58017
ENSG00000285716,ENSG00000285716,58018
ENSG00000285717,ENSG00000285717,58019
ENSG00000285718,ENSG00000285718,58020
ENSG00000285719,ENSG00000285719,58021
FAM90A17,ENSG00000285720,58022
ENSG00000285722,ENSG00000285722,58023
MKKS-2,ENSG00000285723,58024
ENSG00000285724,ENSG00000285724,58025
ENSG00000285725,ENSG00000285725,58026
ENSG00000285726,ENSG00000285726,58027
ENSG00000285727,ENSG00000285727,58028
ENSG00000285728,ENSG00000285728,58029
ENSG00000285729,ENSG00000285729,58030
ENSG00000285730,ENSG00000285730,58031
ENSG00000285731,ENSG00000285731,58032
ENSG00000285732,ENSG00000285732,58033
ENSG00000285733,ENSG00000285733,58034
ENSG00000285734,ENSG00000285734,58035
LINC02717,ENSG00000285735,58036
ENSG00000285736,ENSG00000285736,58037
LINC02680,ENSG00000285737,58038
ENSG00000285738,ENSG00000285738,58039
ENSG00000285739,ENSG00000285739,58040
ENSG00000285740,ENSG00000285740,58041
ENSG00000285741,ENSG00000285741,58042
ENSG00000285742,ENSG00000285742,58043
ENSG00000285743,ENSG00000285743,58044
ENSG00000285744,ENSG00000285744,58045
ENSG00000285745,ENSG00000285745,58046
ENSG00000285746,ENSG00000285746,58047
ENSG00000285747,ENSG00000285747,58048
ENSG00000285748,ENSG00000285748,58049
ENSG00000285749,ENSG00000285749,58050
ENSG00000285750,ENSG00000285750,58051
ENSG00000285751,ENSG00000285751,58052
CDC42-AS1,ENSG00000285752,58053
LCEP3,ENSG00000285753,58054
